iter	Passed	Remaining
0	3828	95696686
1	6835	85438391
2	9882	82343416
3	13734	85825208
4	17539	87678589
5	20461	85237054
6	22750	81229926
7	24927	77873991
8	26942	74813882
9	29081	72674929
10	31424	71388292
11	33771	70323902
12	35839	68886286
13	37818	67495722
14	39822	66331247
15	41821	65304290
16	43787	64349024
17	45889	63689278
18	48033	63154383
19	50042	62502473
20	52071	61938390
21	54044	61360274
22	56010	60824487
23	57997	60356462
24	59979	59919839
25	61939	59494850
26	63935	59135818
27	65960	58827135
28	68055	58600845
29	70065	58317547
30	72028	58015845
31	73987	57728568
32	76171	57629451
33	78309	57502183
34	80325	57294679
35	82361	57113423
36	84363	56918111
37	86312	56698343
38	88400	56578348
39	90935	56743556
40	93027	56630935
41	95035	56473481
42	97027	56314222
43	99167	56245993
44	101119	56076482
45	103170	55967497
46	105251	55879339
47	107391	55825708
48	109350	55681849
49	111390	55583653
50	113479	55513648
51	115513	55420041
52	118076	55578310
53	120808	55808934
54	123513	56018981
55	125492	55898079
56	127543	55812518
57	129533	55703728
58	131483	55582055
59	133467	55477962
60	135554	55419587
61	137526	55316792
62	139576	55247808
63	141594	55168654
64	143569	55075620
65	145582	54999397
66	147582	54920442
67	149934	54973030
68	151939	54898450
69	154930	55177560
70	157114	55165036
71	159380	55181237
72	161677	55207236
73	164169	55298403
74	166150	55217507
75	168139	55140770
76	170176	55081999
77	172436	55095590
78	174399	55015445
79	176408	54951397
80	178401	54883732
81	180403	54820672
82	182397	54756566
83	184431	54705795
84	186436	54647931
85	188736	54676608
86	190760	54625452
87	192762	54569272
88	194792	54522265
89	196832	54478925
90	198882	54439082
91	200937	54401533
92	203048	54379937
93	205221	54374944
94	207238	54329078
95	209185	54266105
96	211221	54227416
97	213255	54188696
98	215272	54146450
99	217273	54101202
100	219331	54070706
101	221288	54016107
102	223263	53966977
103	225388	53954467
104	227418	53919857
105	229432	53882103
106	231489	53854868
107	233510	53819954
108	235564	53792994
109	245372	55521210
110	248850	55798629
111	252052	56009703
112	257539	56720184
113	260835	56939911
114	264127	57154906
115	267303	57341134
116	269918	57404932
117	272574	57476285
118	275312	57563510
119	277488	57532552
120	280132	57598566
121	283153	57740173
122	286431	57931389
123	288925	57962218
124	292179	58143796
125	295367	58309260
126	298886	58536994
127	301630	58610526
128	304286	58665949
129	306421	58620769
130	308654	58594890
131	310942	58579693
132	314121	58731216
133	317271	58875155
134	320364	59006398
135	323491	59141793
136	326182	59196087
137	329218	59311823
138	331647	59317116
139	334202	59344864
140	336332	59297121
141	339986	59516868
142	343042	59629438
143	346539	59816601
